[0.013005599999999935, -0.933656057153783]
[0.21818782129097028, -0.9389812850024957]
[0.23006483201694405, -0.9666418083515056]
[0.23276763083925575, -0.9457169922805899]
[0.24507142833984807, -0.9735124902816611]
[0.3261653302506873, -0.670955888222744]
[0.32775943651754186, -0.6604785174735859]
[0.33115514137908975, -0.6550021731549361]
[0.3328157831454722, -0.6451955062704147]
[0.6842604491984573, -0.9790901910254945]
[0.7097457292042854, -1.0072432147725694]
[0.9762124466073473, -0.9840450788469968]
[0.9781774155720963, -0.9729266034980474]
[1.0044580779012797, -0.990534676158824]
[1.1161605973666775, -0.7858383035132859]
[1.089177433823767, -0.7515037256457493]
[1.1100484376298816, -0.7585595646404135]
[1.1053983649944892, -0.7438306710313849]
[1.0755029993757355, -0.4679297203757653]
[1.072684850221502, -0.45793402003633776]
[1.0746192985631993, -0.4508427316294157]
[1.049895213921472, -0.2224716405673513]
[1.0443118752066163, -0.21354845844955272]
[1.063413219159534, -0.21387624697273416]
[1.0245981549836143, -0.04160591112373824]
[0.9997541416574612, -0.03035576848004104]
[1.0194363483959483, -0.028435271930787515]
[1.016266634985501, 0.13623258971935087]
[1.000558037362902, 0.1425243412829247]
[1.0243819877644433, 0.14754577774359637]
[1.0207610335877038, 0.29873929464417126]
[1.0146193367034586, 0.303829955938466]
[1.011528828383224, 0.3092667425884238]
[1.010681498337518, 0.31499036193280394]
[1.0401125049247626, 0.48650041512410647]
[1.0327397968320713, 0.49067450064604856]
[1.0989889515692814, 0.7066859795534591]
[1.0676788791538596, 0.698896481525188]
[1.0504049905617685, 0.6977706979481564]
[1.0980450632671348, 0.9526279652838254]
[1.117529883646609, 0.9762278197477023]
[1.107953855751293, 0.9789203420730832]
[1.075223491557709, 0.9643252288676116]
[1.0569474604421896, 1.2251394651858953]
[1.0512549768566937, 1.2314775906636453]
[1.048492435880064, 1.2408395286976166]
[0.7489642446768632, 1.214840976330345]
[0.5107954702911216, 1.1920453078462543]
[0.5087293351700718, 1.2027217351362185]
[0.496457335786952, 1.1921611847822713]
[0.31293297912633805, 1.1639912094342726]
[0.3006730897655406, 1.1435467438190356]
[0.291535349453118, 1.132890297463041]
[0.2811659297037564, 1.1173688954049996]
[0.13249367585349, 1.1473910639873823]
[0.12679911711149067, 1.147105707880974]
[0.1216125391141321, 1.1512914367529627]
[-0.03092232233776253, 1.168764760363719]
[-0.1934408448426117, 1.1406016463742714]
[-0.1997487959185184, 1.142889116390089]
[-0.3732079881642384, 1.1665548604120768]
[-0.3850487094811999, 1.1798439368860734]
[-0.39718242028827433, 1.1933462338297403]
[-0.39678064114613126, 1.17573804150011]
[-0.6212210020668214, 1.2378850214842343]
[-0.62473545572201, 1.229961666246678]
[-0.6111604205773757, 1.1942553750777067]
[-0.6526954179662391, 1.2481638250397813]
[-0.8851015969909724, 1.2314593336356792]
[-0.8942709851427391, 1.2299067195725093]
[-0.9856671498989484, 1.025511323286219]
[-1.025602495943823, 1.049264505556658]
[-1.0162815392086164, 1.0313731213586248]
[-1.083130738744495, 0.8389857960059537]
[-1.1107162321220614, 0.846894241147502]
[-1.1187715625813133, 0.8429145888245058]
[-1.104819647023717, 0.8260603313231512]
[-1.091032728600471, 0.6135218238062727]
[-1.0976382995668237, 0.6087745955489448]
[-1.0844727208901477, 0.5963889834403242]
[-1.0877814338636325, 0.590419704283064]
[-1.0379191609013796, 0.4006880755399861]
[-1.0478259949678757, 0.3964451961860507]
[-1.0457162607285253, 0.38966679283382105]
[-1.011185138272909, 0.22108299623093003]
[-1.058921132595196, 0.056433611411801185]
[-1.0680508258503318, 0.04912973685855422]
[-1.0769736776787417, 0.04173645585045935]
[-0.749876995603153, -0.036884468356640165]
[-0.7596800600063809, -0.04440195296441707]
[-0.7497887299674088, -0.046333342892601465]
[-0.7597472347675764, -0.054049895260337016]
[-1.0963378210015653, -0.3441469698496128]
[-1.0829566723131099, -0.34558003681416816]
[-1.0830236725855036, -0.3533535955061264]
[-1.142986981327537, -0.6233088186900323]
[-1.1187346473802207, -0.6161982737877649]
[-1.0723193097591528, -0.8674895903769031]
[-1.0534108721795838, -0.861169547012819]
[-1.0881002528759423, -0.9072531854270858]
[-0.8784203775832656, -1.0249779363541267]
[-0.8268434957694749, -0.969210592713697]
[-0.8102245306987297, -0.9601802847487662]
[-0.5702520691846348, -0.9665895381561567]
[-0.562319577278306, -0.9672100901682605]
[-0.5533792800213468, -0.9657227195767089]
[-0.5279175629549394, -0.9303321929520312]
[-0.3301098651188325, -0.934103295436891]
[-0.1478513666948692, -0.927014100327874]
[-0.1425665097846016, -0.9353912735545048]
[-0.1379835040752157, -0.9496460298866156]
